Loan ID,Year,Project Name,Loan (USD M),Country,Region,Borrower,Lender,Lender Type,Sector,Source 1,Source 2
AO.118,2012,4 Telecommunication Projects,109.76,Angola,SA,National Government,BoC,Commercial Banks ,Information and Communication Technology (ICT),https://drive.google.com/file/d/1yBsBfCzAdHBQDPcYd9HwuN_nOHLNnGk9/view?usp=drive_link,https://drive.google.com/file/d/1uOYUTWcLqFUS2l5GIkyqmIC_9SIHVaYC/view?usp=drive_link
AO.143,2021,"Public Security Project, Anti-crime surveillance, Phase 2",79.70,Angola,SA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://www.rns-pdf.londonstockexchange.com/rns/8185G_1-2022-3-31.pdf,https://furtherafrica.com/2020/01/14/chinese-cooperation-strengthens-security-in-angola-and-cabo-verde/
BF.002,2019,National Backbone Project,77.35,Burkina Faso,WA,National Government,BoC,Commercial Banks ,Information and Communication Technology (ICT),https://www.gouvernement.gov.bf/informations/actualites/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=169&cHash=734f102f542ac283cd64716a510571a6,https://www.tresor.economie.gouv.fr/Articles/a9be17d8-11e8-4a44-bd58-337b61629dc8/files/87715186-304e-4320-8ec5-880cb4653289
BF.003,2020,SMART Burkina Project,80.00,Burkina Faso,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://www.gouvernement.gov.bf/informations/actualites/details?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=441&cHash=19947ac728286f83735731694e9431f1,https://www.conseil-constitutionnel.gov.bf/fileadmin/user_upload/decision_2020-026.pdf
BI.010,2017,Digital Broadcasting Upgrade,32.60,Burundi,CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
BI.011,2014,"Bujumbara Metropolitan Area Telecom Network, 220km of Optical Fibre",15.00,Burundi,CA,Office National des T¨¦l¨¦communications du Burundi (ONATEL) (SOE),CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
BI.013,2017,ONAMOB Network Modernization,30.00,Burundi,CA,Office National des T¨¦l¨¦communications du Burundi (ONATEL) (SOE),"Huawei Technologies Co., Ltd.",Contractors,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
BJ.012,2015,"PDI2T Telecommunications Infrastructure for Broadband, Fiber Optics, 4G",80.00,Benin,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
BJ.021,2022,Broadband Network Densification Project,39.32,Benin,WA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://www.gouv.bj/actualite/1464/cooperation-sino-beninoise-benin-decroche-22-milliards-densification-reseau-haut-debit/,https://assemblee-nationale.bj/wp-content/uploads/2022/12/3-CRI-S%C3%A9ance-du-11-octobre-2022.pdf
CD.016,2012,"Fiber-Optic Cables, Phase 2",88.29,"Congo, Democratic Republic of the",CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/file/d/1fV5clE2ZsTDd2J-PALWfxzt0Tijbp4tG/view?usp=drive_link,https://drive.google.com/file/d/1V2Ixryy7u-g9R_tCFwSOICC3H9xVbKMA/view?usp=drive_link
CD.031,2020,"Finance Ministry Communications Systems, Modernization and Digitization",150.00,"Congo, Democratic Republic of the",CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/file/d/1q_hogd1gZU0UUw_gap00U-9IzBQbuTiT/view?usp=drive_link,https://drive.google.com/file/d/1pqlJHh9_6nj-jsHEbb-vQSISNxROwpnH/view?usp=drive_link
CG.024,2017,"National Telecom, Phase 3 (USD loan)",160.88,"Congo, Republic of the",CA,National Government,CHEXIM,Development Finance Institutions ,Information and Communication Technology (ICT),https://drive.google.com/drive/folders/1mWbuBQ5UQwwT2BvnIpvvRSHFLVUaTGFp?usp=sharing,
